,Unnamed: 0,model,mae,rmse,r2,mae_avo,rmse_avo,r2_avo,mae_olive,rmse_olive,r2_olive,mae_grape,rmse_grape,r2_grape,mae_tr,rmse_tr,r2_tr,best_params
82,82,LWI_XGB,0.2690987752311196,0.3872400818567471,0.880682710551437,0.3057242168159613,0.4478707619405241,0.857329483530856,0.2071291715258349,0.314752491155193,0.91239042525221,0.2942060760233341,0.3875628128573806,0.8853053188922514,0.2415790466884093,0.3333890526507647,0.9218513195934812,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
66,66,MAX_MLP,0.0228526365401339,0.0312131545229985,0.8550307206664997,0.026246352179534,0.0356022319910649,0.8367471317870118,0.0233937637945703,0.0317592059856375,0.8655320489091304,0.0189545678789502,0.0254888024873068,0.8935565042774202,0.0227527926442118,0.0308147839433759,0.8695437117795597,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
41,41,MAX_RF,0.0224845151259844,0.0310649551898449,0.8593049179591862,0.0265447217870324,0.0360870726655496,0.8322704133190881,0.0212818766760494,0.0299673079582757,0.8802777205006489,0.0196536531598351,0.0264065086000613,0.8857536767203246,0.0165110472386879,0.0223059066182902,0.9316424446041662,"{'rf__max_depth': 20, 'rf__min_samples_split': 20, 'rf__n_estimators': 200}"
116,116,MAX_Ridge,0.023774599639148,0.0314673165732405,0.8498642506689913,0.0251350156611831,0.0337891154196939,0.8529516982472838,0.0256184973689424,0.0325526623507768,0.8587291551230996,0.0206002327448122,0.0277715911375877,0.873636458077729,0.0236536786029579,0.0318137041537871,0.8609486403313883,"{'ridge__alpha': 0.1, 'ridge__fit_intercept': True, 'ridge__solver': 'svd'}"
16,16,MAX_SVR,0.0216082836694012,0.0301991207478358,0.8617161687575833,0.0254260703111202,0.035956929789408,0.8334780174814733,0.0204638113399567,0.0281819678384141,0.8941179977550298,0.018959953603036,0.0255204999856312,0.8932915965437102,0.0197815059912492,0.0277426586373439,0.8942591201456711,"{'SVR__C': 0.1, 'SVR__epsilon': 0.01, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
91,91,MAX_XGB,0.0212647707324977,0.0290175670552401,0.8737729759239983,0.0257217395631772,0.0345048524502172,0.8466560246799502,0.0191849904206563,0.026738330391429,0.9046878895428906,0.0189097989287888,0.0249520417942785,0.8979924203126596,0.0167292526603258,0.0224025581619649,0.931048774313976,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
52,52,MSI1_MLP,0.0293832390133049,0.0374655405810299,0.8069536174421265,0.0353670943740057,0.0445098691072891,0.7614382158484088,0.0205272926413965,0.0255537707677413,0.9196476632317108,0.0322284880524452,0.0396895170212853,0.6989433031645822,0.0308874815997883,0.0394716410148324,0.8147489030516082,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01}"
27,27,MSI1_RF,0.0273327390876115,0.035263243377341,0.8249699315214709,0.0347096484502657,0.0422409347176633,0.7851401444268195,0.0192122909277801,0.0252339505127564,0.9216463890146622,0.0280693289240674,0.0361776709942956,0.7498630362080281,0.0196918040196588,0.0250661529788666,0.9252922261819072,"{'rf__max_depth': 30, 'rf__min_samples_split': 15, 'rf__n_estimators': 200}"
102,102,MSI1_Ridge,0.031337781205662,0.0389430153283516,0.7880173021062276,0.035407432572498,0.0443262259177361,0.7634027180819161,0.0238355780718641,0.0292040572826573,0.8950518215038928,0.0347382530495681,0.0415929169350237,0.6693752037778529,0.0320784152408354,0.040804809507041,0.8020237320744971,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
2,2,MSI1_SVR,0.0266568628582758,0.0348193650786686,0.8358973151601815,0.0348070151903867,0.0424016991019663,0.7835015659338596,0.0188676693612006,0.0240949110195249,0.9285603734389324,0.0262992774702967,0.0354720023240321,0.7595260303263046,0.0247648727463161,0.032394892822584,0.8752204202990929,"{'SVR__C': 1, 'SVR__epsilon': 0.01, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
77,77,MSI1_XGB,0.0263294734390896,0.0337767519678639,0.8403431158126083,0.032034824668315,0.0401148243538063,0.8062248731998147,0.0189454485630792,0.0239740310074687,0.9292753759718548,0.0279924585471194,0.0351815256855934,0.7634483386267323,0.0219225486641212,0.0279322670890755,0.9072310169465198,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
