,model,mae,rmse,r2,mae_avo,rmse_avo,r2_avo,mae_olive,rmse_olive,r2_olive,mae_grape,rmse_grape,r2_grape,mae_tr,rmse_tr,r2_tr,best_params
110,VOG1_MLP.pkl,0.09926224894235955,0.14907906720484515,-0.15881988843648753,0.13439725353269166,0.2087176587387628,0.1955758996757273,0.20214938906735716,0.27088490261605774,-1.0231676932317253,0.08947304634623061,0.11601480308630177,-0.06096466692722258,0.09983919733770646,0.14383701795845297,0.5638348257974682,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
111,VOG1_RF.pkl,0.08197072643446258,0.1254195262418725,0.3937623971020924,0.11785340229446287,0.18075558393063643,0.3966766561110934,0.21010271170060987,0.2741890075269719,-1.0728236670176723,0.07416383588739513,0.095422429648639,0.28224694904351166,0.04840177287911038,0.06673688642112689,0.9061052031042982,"{'rf__max_depth': 10, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}"
112,VOG1_Ridge.pkl,0.12382416411939694,0.16709750941392734,-0.48987879764454156,0.154111351411156,0.21353526638451775,0.15801199076869787,0.20226674465626363,0.2707395937549257,-1.0209977284930511,0.1184497189279914,0.14109359081869752,-0.5692375046563498,0.12749379438196026,0.16734421423529366,0.409620800032213,"{'ridge__alpha': 0.01, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
113,VOG1_SVR.pkl,0.08613186508104138,0.13524880790635488,0.19051069998517667,0.12086996251009555,0.19447645659724022,0.3016055966735455,0.21893026107722963,0.2861113702310482,-1.257004963068352,0.0666789199588178,0.08739122340792398,0.39798162823528005,0.07357653294393646,0.11348398397571548,0.7284943995267636,"{'SVR__C': 10, 'SVR__epsilon': 0.05, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
114,VOG1_XGB.pkl,0.07740853971383936,0.11726132231385028,0.46258544279316716,0.11402536654362194,0.17009462954024065,0.4657458702945966,0.2039243873484992,0.2607221371040263,-0.8742093243572029,0.06330302914331852,0.08314489159367386,0.45506431405111103,0.031062112197024747,0.04261261391184023,0.9617187601458561,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 500, 'xgb__subsample': 0.8}"
115,WBI_MLP.pkl,0.04680604297179858,0.0649295379665087,0.2403476824251497,0.07522537351170717,0.09371472042932942,0.10511980769217544,0.08714588237979949,0.1087812472732503,-5.594255350861586,0.025907203044838775,0.035960759264946525,0.4117886123787443,0.04683075943520233,0.06523367608824852,0.49456532593767966,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01}"
116,WBI_RF.pkl,0.04200214641436888,0.0590039990653026,0.4097281575390631,0.06902128843288832,0.08621573394350703,0.24260518664769626,0.1005339024726182,0.11574831302059696,-6.4659836143394,0.024015562608687698,0.034954393898875766,0.4442502518498902,0.02765405736339727,0.040858732023049654,0.8017144361955046,"{'rf__max_depth': None, 'rf__min_samples_split': 15, 'rf__n_estimators': 100}"
117,WBI_Ridge.pkl,0.046584655202479626,0.062398983357564435,0.239656345475049,0.07472075566077067,0.09068873703613432,0.1619769289778752,0.08671947373845254,0.10702838378102875,-5.383452436663393,0.026477324301447842,0.034754240230590205,0.4505966285944668,0.04757454354762063,0.06474383027056066,0.5021275393900894,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
118,WBI_SVR.pkl,0.04028226331727772,0.0583842122299433,0.3722296227729238,0.0666238481648263,0.08367126448605272,0.28665120474745254,0.09177794234828751,0.10626076509165372,-5.2922152272382,0.022549033873238297,0.03557386458740438,0.42437742518579635,0.040516539845744125,0.06164188289356069,0.5486919098693326,"{'SVR__C': 0.1, 'SVR__epsilon': 0.01, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
119,WBI_XGB.pkl,0.02416985371658372,0.03892251627165706,0.7746455363093333,0.04861444167701714,0.06354543677806922,0.5885491102891898,0.10920893273410884,0.12368441647161914,-7.524867963165937,0.01072863575832893,0.014671834692031654,0.9020860495732794,0.017644239782238523,0.029602644575312885,0.895916389637315,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 7, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
120,WI_MLP.pkl,0.038817011559828196,0.05100093067577501,0.2506150229307297,0.0603739888146672,0.07212584547331218,0.22514404629832308,0.05063681663422454,0.06336501938858603,-1.5065781261304299,0.022120523463186405,0.027736942645168378,0.6237289998436027,0.04148325154010992,0.056276337291541245,0.4718106767141955,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
121,WI_RF.pkl,0.02233306921173431,0.03588255369316707,0.7246032363404424,0.04234896898568713,0.05571286072117689,0.5376721471624477,0.08246681008977255,0.09554100125440236,-4.698514764912225,0.01315021895767785,0.0224580503056923,0.7533235603725227,0.01198024672848002,0.020021361664356526,0.9331463394458174,"{'rf__max_depth': 40, 'rf__min_samples_split': 7, 'rf__n_estimators': 500}"
122,WI_Ridge.pkl,0.03359286634949445,0.04533752381164809,0.5113708383475171,0.0555850795873159,0.06773727278710877,0.31656918810503465,0.07136670856923241,0.08729110965151572,-3.756879278285929,0.022230165040329458,0.02803278525528184,0.6156595705252088,0.034687944195651126,0.04788737693625953,0.6175452419859555,"{'ridge__alpha': 0.01, 'ridge__fit_intercept': True, 'ridge__solver': 'lsqr'}"
123,WI_SVR.pkl,0.023187974977013543,0.03725745302566247,0.7124321524059389,0.046114450515218106,0.059817455647119655,0.46703951240220487,0.08361365689960011,0.09805482891676186,-5.002332835267594,0.011122248897147744,0.0175375865525847,0.8495738897269729,0.021697119328032758,0.03662265844752446,0.7763145664294364,"{'SVR__C': 1, 'SVR__epsilon': 0.01, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
124,WI_XGB.pkl,0.021750975615242134,0.03453372072907789,0.7448506761383771,0.04186205940728054,0.05492660959414152,0.5506293276728621,0.08285391529211554,0.09611585601902264,-4.767295149366705,0.012019332011562195,0.01846888573481966,0.8331735302963015,0.006802481704669291,0.010146638645951245,0.9828295230653611,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__subsample': 0.6}"
